Carbon Dioxide (CO2) Emissions ( 000 Tonnes CO2) by Year and Sector,,
NACE Rev 2,,
,,
 ,"Agriculture, forestry and fishing (01 to 03)","Rubber and plastic products, other non-metallic mineral products (22,23)"
2000,1514,2813
2001,1538,2920
2002,1406,3173
2003,1584,3912
2004,1442,4493
2005,1509,4735
2006,1438,4610
2007,1472,4721
2008,1396,4202
2009,1298,2740
2010,1358,2398
2011,1242,2136
2012,1073,2476
2013,1308,2397
2014,1095,2955
2015,1088,3183
